Group,Specimen ID,Specimen,Plate ID,Well ID,Sample,Operator,Run Time,All Abs. Count,singlets Abs. Count,noise Abs. Count,cells Abs. Count,GFP.neg Abs. Count,GFP.pos Abs. Count,All Count,singlets Count,noise Count,cells Count,GFP.neg Count,GFP.pos Count,doublets Count,undefined Count
CalCurve_160117 - Copy,1,rerun,1,F1,A1_T3_rerun,administrator,16-Jan-18 12:56:43 PM,68047096,67401176,11074852,53998316,53998316,0,20000,19813,3221,15911,15911,0,187.00,681.00
CalCurve_160117 - Copy,1,rerun,1,F2,A2_T3_rerun,administrator,16-Jan-18 12:57:50 PM,27553723,26834707,11358291,14393837,14388431,5406,20000,19474,8249,10436,10433,3,526.00,789.00
CalCurve_160117 - Copy,1,rerun,1,F3,A1_T9_rerun,administrator,16-Jan-18 12:59:35 PM,61492898,60764581,20957993,38606830,17162285,21444545,20000,19768,6787,12584,5560,7024,232.00,397.00
CalCurve_160117 - Copy,1,rerun,1,F4,A2_T9_rerun,administrator,16-Jan-18 1:00:45 PM,33947259,33221062,14142775,18227224,9429064,8798160,20000,19594,8273,10785,5535,5250,406.00,536.00
CalCurve_160117 - Copy,1,rerun,1,F5,PBS_PBS_rerun,administrator,16-Jan-18 1:02:19 PM,7259200,6959200,5012800,1432800,1413600,19200,17372,16683,12034,3375,3327,48,689.00,1274.00
CalCurve_160117 - Copy,2,mix_x2,1,F6,T3_1_T9_0,administrator,16-Jan-18 1:38:58 PM,316133028,315189486,12327920,294895596,294895596,0,20000,19939,778,18663,18663,0,61.00,498.00
CalCurve_160117 - Copy,2,mix_x2,1,F7,T3_0.8_T9_0.2,administrator,16-Jan-18 1:39:46 PM,351722348,350454139,25432732,317789188,296743773,21045415,20000,19929,1432,18097,16894,1203,71.00,400.00
CalCurve_160117 - Copy,2,mix_x2,1,F8,T3_0.6_T9_0.4,administrator,16-Jan-18 1:40:33 PM,335626548,334545467,28386569,300098291,252760042,47338249,20000,19938,1660,17914,15090,2824,62.00,364.00
CalCurve_160117 - Copy,2,mix_x2,1,F9,T3_0.4_T9_0.6,administrator,16-Jan-18 1:41:21 PM,315538473,314553858,32123078,277061549,204076931,72984618,20000,19940,2012,17587,12967,4620,60.00,341.00
CalCurve_160117 - Copy,2,mix_x2,1,F10,T3_0.2_T9_0.8,administrator,16-Jan-18 1:42:09 PM,263824293,262855301,35155039,224754525,130322999,94431526,20000,19927,2616,17088,9917,7171,73.00,223.00
CalCurve_160117 - Copy,2,mix_x2,1,F11,T3_0_T9_1,administrator,16-Jan-18 1:42:59 PM,220367769,219437537,37977285,179783669,64499730,115294755,20000,19914,3433,16328,5853,10476,86.00,153.00
CalCurve_160117 - Copy,2,mix_x2,1,F12,PBS,administrator,16-Jan-18 1:43:49 PM,6141200,5930800,4292400,1091600,1038000,53600,15055,14544,10519,2665,2531,134,511.00,1360.00
CalCurve_160117 - Copy,3,T3_CalCurve,1,G1,2e0,administrator,16-Jan-18 1:48:00 PM,400953309,400214009,10214008,380622569,380603114,19455,20000,19964,504,18993,18993,0,36.00,467.00
CalCurve_160117 - Copy,3,T3_CalCurve,1,G2,2e1,administrator,16-Jan-18 1:48:47 PM,204174608,203371798,11239338,185539385,185529350,10035,20000,19923,1077,18207,18206,1,77.00,639.00
CalCurve_160117 - Copy,3,T3_CalCurve,1,G3,2e2,administrator,16-Jan-18 1:49:38 PM,116076525,115374069,11644774,100291259,100285548,5711,20000,19883,1895,17396,17395,1,117.00,592.00
CalCurve_160117 - Copy,3,T3_CalCurve,1,G4,2e3,administrator,16-Jan-18 1:50:35 PM,63537349,62991209,7639673,53060262,53050846,9416,20000,19841,2325,16780,16777,3,159.00,736.00
CalCurve_160117 - Copy,3,T3_CalCurve,1,G5,2e4,administrator,16-Jan-18 1:51:45 PM,32901427,32225676,5661009,25319946,25313571,6375,20000,19627,3150,15705,15701,4,373.00,772.00
CalCurve_160117 - Copy,3,T3_CalCurve,1,G6,2e5,administrator,16-Jan-18 1:53:20 PM,16892503,16695847,3339833,12621665,12619176,2489,20000,19801,3800,15092,15089,3,199.00,909.00
CalCurve_160117 - Copy,3,T3_CalCurve,1,G7,2e6,administrator,16-Jan-18 1:55:43 PM,8945720,8814762,2410159,5929274,5927069,2205,20000,19720,5265,13380,13375,5,280.00,1075.00
CalCurve_160117 - Copy,4,T9_CalCurve,1,H1,2e0,administrator,16-Jan-18 1:59:35 PM,210149712,209488896,33918430,174155908,62529684,111626224,20000,19941,3218,16585,5960,10625,59.00,138.00
CalCurve_160117 - Copy,4,T9_CalCurve,1,H2,2e1,administrator,16-Jan-18 2:00:26 PM,131515738,130976952,27198961,101850046,38630314,63226223,20000,19919,4101,15525,5893,9633,81.00,293.00
CalCurve_160117 - Copy,4,T9_CalCurve,1,H3,2e2,administrator,16-Jan-18 2:01:21 PM,84327777,83763642,23277744,58192301,23784230,34412189,20000,19884,5428,13893,5621,8273,116.00,563.00
CalCurve_160117 - Copy,4,T9_CalCurve,1,H4,2e3,administrator,16-Jan-18 2:02:25 PM,40074898,39688577,11930620,26776386,11471370,15305016,20000,19830,5898,13428,5714,7714,170.00,504.00
CalCurve_160117 - Copy,4,T9_CalCurve,1,H5,2e4,administrator,16-Jan-18 2:03:50 PM,19894461,19724811,6311584,12876658,5407111,7469547,20000,19833,6302,12987,5440,7547,167.00,544.00
CalCurve_160117 - Copy,4,T9_CalCurve,1,H6,2e5,administrator,16-Jan-18 2:05:58 PM,11164967,10998113,4281299,6425778,2974917,3450860,20000,19727,7545,11650,5350,6300,273.00,532.00
CalCurve_160117 - Copy,4,T9_CalCurve,1,H7,2e6,administrator,16-Jan-18 2:09:12 PM,6952400,6854000,3382400,3191200,1606000,1585200,17019,16774,8167,7919,3960,3959,245.00,688.00
CalCurve_160117 - Copy,5,mix_x10,1,G8,T3_1_T9_0,administrator,16-Jan-18 2:13:23 PM,447880122,446193107,37269699,389500545,389478347,22198,20000,19928,1654,17411,17410,1,72.00,863.00
CalCurve_160117 - Copy,5,mix_x10,1,G9,T3_0.8_T9_0.2,administrator,16-Jan-18 2:14:25 PM,398601244,396828194,45488572,333254517,312785645,20468872,20000,19913,2249,16752,15724,1028,87.00,912.00
CalCurve_160117 - Copy,5,mix_x10,1,G10,T3_0.6_T9_0.4,administrator,16-Jan-18 2:15:28 PM,375631962,373810401,50427508,310018581,266394046,43624534,20000,19904,2659,16534,14217,2317,96.00,711.00
CalCurve_160117 - Copy,5,mix_x10,1,G11,T3_0.4_T9_0.6,administrator,16-Jan-18 2:16:33 PM,350008658,348312276,58490567,280093477,210143675,69949802,20000,19911,3321,16026,12032,3994,89.00,564.00
CalCurve_160117 - Copy,5,mix_x10,1,G12,T3_0.2_T9_0.8,administrator,16-Jan-18 2:17:40 PM,294020556,292688574,62139858,223642679,135413348,88229332,20000,19909,4196,15240,9248,5992,91.00,473.00
CalCurve_160117 - Copy,5,mix_x10,1,H8,T3_0_T9_1,administrator,16-Jan-18 2:18:52 PM,266103463,265016364,71787817,187373930,74066795,113307135,20000,19920,5377,14099,5548,8551,80.00,444.00
